@RELATION raca_bairro_desc20152

@ATTRIBUTE id_discente {00d23d8801e80f5326f9409bc1edee9b,016b3e8d294936a422258b4ba1a7a785,0188fee9f69676d5d450513676ffa20f,02624974f8aa2d53b945ceb2b4eec0dd,02880697d64d493a3c0651f1b71d0220,03f682cb34ca1cd1bc10df04d8d2978f,04b1241196c8b2d85fb33f7423c0af2f,04db5ca11d1ed89498b4eb811dbebe1f,057fdfe31ce7ff67e6de782fd459a5e7,05961a2da16bb50207b1c3df6a9a6382,065818a33218bef3c9b486b384a62107,098328a35e4c60b120e4bb6b94c8a0f6,09c576ebed33d3a813eabe6d34f29efc,1084bfe76dd5ef9187ef67922d26e66a,10e449bd1f9b4f668d87b03921b9acad,114537ce7c2e383762ba7b3a72b2a042,1235a9301fcee8edf5d74e0f0f2df292,15ce11b7e21c47c687f7008c288e12b5,16bcf9f32c941fa63a6b0ae2cb03fdcf,1769378784613a7f89344897979d8d68,199cf0f9e05b80779b441b5b98a5e7d3,1b1bb78ab66b8a12f8e0f0b569669bb8,1e1e279537c3a6e69f3f695e04844dcb,1ffca7323fb3ad790fc1e1a976611040,2297eebcbf4008c925c4056c12bb3b27,23c3e6fe2285999433491924f662c872,254ceb2461f616e3cf107788af88a348,25d2bd21cd76c59793f8a006c03cf6b9,25d5eca724a3eca9a55b0a9ac7bfb373,2611cfc63edfc0980b1925fd819ec700,26f01fd04f5b620248135bd79c00ab4d,2737d1bf2f063605e3691be1a76f0507,27c5adb3b003e96f4171dfefe69835fe,2849447e693afb0816767beb8dc0a942,28685e2715ef5bd4ccd928220187c670,2b366f50d21194c4a826929a4e10ef35,2bebbda0ca273a4be74009d7699de55f,2e76987f8d1ad80d26cfb6d1b5bde22f,2f88ff7e6e0e58cb307f6e6c4dbd80e3,30eb9f908ea148ac43488d446fe4a837,32daafffbc274ee74e2c8ea9f9b792a6,3878dc0f1f55d1f6e658ee148ca776c6,3b09923f48cffaf2f0774592678ffb73,3be0a9d02f52ad9e368b82c93f60bb59,3fca4ed1d677f18128430e1d5dd87147,40846f2f09da1435f6eb303ce9d0d768,430325976024d5d1ef77afdcfaab016a,43d1599597afbfed9686ba29bbe77507,4402f41efd8b2de8bd404bf6cdce34ef,46665a614e41672cc0e7ab15d2acacf1,469b4e52f0fc039742f0d6f50587fd02,480a730ca3e8657e4d203f06d6baaae1,48bda966ddad288bba1f680237cdef70,4b11fb51905da447d0cefc76ce4f5f94,4e6ba21f267f58a5673ed53b55ce4093,4f6604e9e784dfcc5d63db809178681e,4fb0d102a6ce0ddb9837f9bae921ebba,500e6edfd4aae0cc92d0931f52794a07,511d0df6f55de7f9c4818636b1535e02,515f232c90b19e1014be58aeb8b56266,52575c6e0954fa8ff0b0eccdd54e56fc,53890acbe28162acd131b308656482fc,5a5d94d46b85d1bec85b6a0b0a0b826b,606187e0dfc21c1f377ad6df3a68e274,63e97bc77196994b439cb853cea9d42d,64643cedb489d1f1c79849ae3d5b4835,6979f555ed7b878d55f9cd3fa4e5c032,69b640cae50edc4b348f31f601e2bd3f,69d022c2924a232b8a0ca9e0ac7da317,6d3bd1cc430fb7ed07bc6081aa6ada21,6d42cc9c6a322c7518b6e14c0cb943c4,6e937627849c1ee4ee610426a859caab,70ab5bf4ea48b0305dac34a3b6ca9a30,72489a3d7b821870feaba15d0791d180,72dcd1fa143cad070004d10eee2545fd,735bbfb6f7ab46b58f900d62a6e3cf26,738ebc6d7bd6c58acd2364c0c262e500,739c7ac76005b144cc9b72cbe44a0e32,761f231943a37ff29272bc3b4020fe0d,7654b9422f2d9d22dd627991a237eb39,777afa50a3eae76c110581407b1e3129,77a188e6ffe37c8c56916b5669cc1fa8,7a4c4b293541c00f8352c2fa485b547c,7d6db9f655e9be38f58a9d4585a41398,7e0c9d37a5d96aaf03233f4f8cb31608,7f526a2061ee189867da31102097f91e,80bba1afdcbe8e69bb840181d41388a1,80f9d9e023fb9a2d30a678e02184bd23,8336cceaf3e6275f4bd0611280702f1e,83729736aa539851727de8ecb2c3529a,847e489b0b8c99c0edb33f2ccdff3608,876c9810d6f4b25797d73c942f55764e,88790547343038856c4dba8ee1a3bbe6,8a7b533bdb6d32e09a5a2712312be0ea,8adfd36bd28efb815197f6837af8b2b9,8b0ee1674165ac3ef13b54e65698c0fe,8d2a3b00a41279debf258bc6c6305205,8dca625c4aeef2641364d784bcef00c5,8e0fe67e7758328f385c2a251f5b3c34,934e88c3c9b5350160b13b623c2d340d,935575d8369467656832d455e86b8290,945af83c78e2fc9c2f33431f481634b8,94f27183387ba163815ccb077b676073,955ba10f8916207996e764ffcb355b02,9684b8e9ace5dcd5c4c29bf4f21d2185,982e1cd4eb21c2ae5483596c92e02a95,990a6d5b8c374d5302e2716f022cf495,9a6063976e50a8fa09edeb69afb09ef4,9b03275cfc98def4ebace9f3a04bdc7c,9c57bdb46f6361e82f72a395800fc231,9c8c21e07fb93342e39e3564779181cb,9d8dcee687180154493648b599a313c3,9e23bf7be54e62a27cd40e83a4b8e854,9fab264022905965335b7bc3964f7ed1,a0a597672742f11324d64601528a0257,a16ed96ee765c2ec436358814f6bc646,a2b5339caf4ea54ef4c904f25feb89ef,a6828dd2dd4b8ff21c763f6d1f6f5e04,a70e6e000686d82ad1d1a29ce75fab9f,a72bccab267a747457e83f3e45587495,a7aeb59e1b92828f2ec3bd5cb467ff1f,a7f137d43e7d464f44e3c234ef986f70,a8d5ecfa0ebc8c6499461c0cf211114c,a9d5358e13241d1fc953196fa2983412,abba494a3f964a7fe18164c54b70c90c,aeee701ac738fecb98159eefef6d6638,af65b0051467eb06384d34802be17b9b,b06b391213ef9e3897598dec729ae710,b0d6eae7ca3a052474157988f5874bbc,b0e148daf401068c1b47be520d5bb181,b0f86d842b61525819f34d4d9a1c5dd9,b0febe58ff9dea32f4c25d7cfe37920b,b3f48c9a515eaba098ef8d6b0da46b5f,b433ff4854fc0247521a8d85ac933932,b48992acc8eac3465362de43c402f802,b6cc911edff95b0ec029e398a63b3bd5,b7526a03c4edcc77987629a48ac76b64,b8273a5a595498e514aa7e7f3874e211,b9d78b8844b65d48bbe2a0132df6b529,bc2bc7b8d6d7550aeaf952fd146e716e,c1d4e7afda2dc570f6d8319b0f511f8b,c1f3ad0fcde65ba2674759fb0387082e,c2ff293de9a8f3ce1817a667fe700f64,c56988f88fee67b606647c582492ba07,c64950466f754a7a5656d1968f33c8fc,c6e6b75a1e8fb3912dc281802313a782,c7f78ef4d6e39ad93441209267801600,c938ce1450afa6b33916d0fcf5dcc617,ca69b87b9e96e1432c90759482ccc08e,cb75f724561edc0a0a2be38dfe95322c,cb9da9e190b42ad22dea7f31955a025f,cbf9dc31ed9483b7c110416da9620d31,cc5a82144563d5e8cdab8202a1346345,cc98fbab3c297d4cf44db9f59c571374,ce40965bf5c874a683b8c9dc45e03115,d0bd6488461f69112553e12fd0b6e5e1,d265fb9f34d7bb9e54794f1ae76f21f0,d3f543853da6cb8c918524383f068cb9,d74b3e9757144bbf51198784155a6ade,d7a45e0307b8dd09655b28676d9bdb53,d7d8b8da956d726a0c4b65a49a8dfffd,d8be9b11939c60ef800896b9f5dd29dd,da437177e090ab90ea33ba772cfbae03,daee292530a6b180685cd6cfd22c6496,dc71ff037f1e98823ef208155af16c47,dcb8f294bee8769bdfec88486911362f,e16576bd21bb2c78f61e3b895da26433,e1b01dddfefb34bbf9739d100d7f62bf,e268ca812a9daa1b587699e002bd7be5,e381d3914b49c2b9dee37cc30438c7fb,e4dcda7fa43cfcaa58044c501b34f030,e53b28b055415073c4fcf1fdaac1e675,e5f2810aa63e3d1d0472a76623334c72,e639c98e60d144e5e09c905411601dc4,e6cdfc6ba7edb9e72e88b259112088c6,ea02749010f507f3e6b03a52b1ca9d4c,ea18bf31bb8dfce225f59c05f81a41e3,ec63873c3581433d75701a854ead2a46,eddf85f8de16759001056bee8d4bf32b,ee67c654a285629b1e24292c717dc9e5,f111a05877915e0c15509d555f34195c,f23e5fa8c16da3a0b77a4ed738182750,f28e052d0580964522fc2df687450a3d,f32c342b30e30053a2624f5d981385d1,f47ace7fbb22012f488f24b9a2593db9,f59c7673d9a33ed201ee68798b80304d,f8241da5c6b786e1253454b70ceed8ff,f8bd9385c1f1481d189651206ff59cd4,fa59fcc35019ddcd80bc63a4b30192d0,fb144904845e9bf1305e59854eea140a,fd67ce939432d220dc3ab6030c9b349f,fd6dc7aa91317652835ab7557a5e09ea}
@ATTRIBUTE raca {BRANCO,NAO_INFORMADO,NEGRO,PARDO}
@ATTRIBUTE bairro {ALECRIM,AREIA_PRETA,BARRA_DE_CUNHAU,BARRO_VERMELHO,BATALHA,BOA_VIAGEM,BOM_PASTOR,CANDELARIA,CAPIM_MACIO,CENTRAL_PARQUE_II,CENTRO,CIDADE_DA_ESPERANCA,CIDADE_NOVA,CONJ._ESTRELA_DO_MAR,CONJUNTO_JARDIM_PETROPOLIS,DAS_FLORES,DIOGO_LOPES,DIX_SEPT_ROSADO,DOM_JOSE_ADELINO,EMAUS,FELIPE_CAMARAO,GOLANDIM,HELVERCIO_PRAXEDES,IGAPO,JARDIM_PLANALTO,LAGOA_AZUL,LAGOA_DA_EMA,LAGOA_NOVA,LAGOA_SECA,LOTEAMENTO_VILA_NOVA,MANGABEIRA,MORRO_BRANCO,NACOES_UNIDAS,NAO_INFORMADO,NEOPOLIS,NOSSA_SENHORA_DA_APRESENTACAO,NOSSA_SENHORA_DE_NAZARE,NOVA_ESPERANCA,NOVA_PARNAMIRIM,PAJUCARA,PARAIZO,PARQUE_DAS_NACOES,PARQUE_DE_EXPOSICOES,PARQUE_DOURADO,PASSAGEM_DE_AREIA,PITIMBU,PLANALTO,PONTA_NEGRA,POTENGI,PRAIA_DE_BARRA_DO_RIO,PRAIA_DO_MEIO,QUINTAS,REDINHA,REGO_MOLEIRO_III,ROSA_DOS_VENTOS,SANTA_MARIA_GORETE,SANTOS_DUMONT,SANTOS_REIS,SANTO_ANTONIO,TIROL,VILA_JARAGUA,VILA_NOVA,VILA_SANTA_LUCIA,ZONA_RURAL}
@ATTRIBUTE descricao {APROVADO,APROVADO_POR_NOTA,DESISTENCIA,REPROVADO,REPROVADO_POR_MEDIA_E_POR_FALTAS,REPROVADO_POR_NOTA,TRANCADO}

@DATA
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,APROVADO
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,APROVADO
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,APROVADO
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,APROVADO
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,APROVADO
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,APROVADO
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,DESISTENCIA
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,DESISTENCIA
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,DESISTENCIA
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,TRANCADO
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,TRANCADO
4b11fb51905da447d0cefc76ce4f5f94,PARDO,CENTRO,TRANCADO
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,APROVADO_POR_NOTA
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,APROVADO_POR_NOTA
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,APROVADO_POR_NOTA
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,REPROVADO
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,REPROVADO
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,REPROVADO
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,APROVADO
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,APROVADO
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,APROVADO
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,REPROVADO_POR_MEDIA_E_POR_FALTAS
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,REPROVADO_POR_MEDIA_E_POR_FALTAS
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,REPROVADO_POR_MEDIA_E_POR_FALTAS
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,REPROVADO
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,REPROVADO
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,REPROVADO
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,APROVADO_POR_NOTA
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,APROVADO_POR_NOTA
e5f2810aa63e3d1d0472a76623334c72,PARDO,POTENGI,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO_POR_NOTA
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO
48bda966ddad288bba1f680237cdef70,PARDO,EMAUS,APROVADO
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,APROVADO
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,APROVADO
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,APROVADO
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,REPROVADO
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,REPROVADO
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,REPROVADO
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,REPROVADO_POR_MEDIA_E_POR_FALTAS
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,REPROVADO_POR_MEDIA_E_POR_FALTAS
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,REPROVADO_POR_MEDIA_E_POR_FALTAS
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,APROVADO_POR_NOTA
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,APROVADO_POR_NOTA
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,APROVADO_POR_NOTA
c56988f88fee67b606647c582492ba07,PARDO,CONJUNTO_JARDIM_PETROPOLIS,DESISTENCIA
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO_POR_NOTA
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO_POR_NOTA
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO_POR_NOTA
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
09c576ebed33d3a813eabe6d34f29efc,PARDO,POTENGI,APROVADO
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO
738ebc6d7bd6c58acd2364c0c262e500,PARDO,NOVA_PARNAMIRIM,APROVADO
739c7ac76005b144cc9b72cbe44a0e32,PARDO,PITIMBU,DESISTENCIA
739c7ac76005b144cc9b72cbe44a0e32,PARDO,PITIMBU,DESISTENCIA
26f01fd04f5b620248135bd79c00ab4d,BRANCO,TIROL,APROVADO
26f01fd04f5b620248135bd79c00ab4d,BRANCO,TIROL,APROVADO
26f01fd04f5b620248135bd79c00ab4d,BRANCO,TIROL,REPROVADO_POR_MEDIA_E_POR_FALTAS
26f01fd04f5b620248135bd79c00ab4d,BRANCO,TIROL,REPROVADO_POR_MEDIA_E_POR_FALTAS
26f01fd04f5b620248135bd79c00ab4d,BRANCO,TIROL,REPROVADO_POR_MEDIA_E_POR_FALTAS
26f01fd04f5b620248135bd79c00ab4d,BRANCO,TIROL,REPROVADO
26f01fd04f5b620248135bd79c00ab4d,BRANCO,TIROL,REPROVADO
26f01fd04f5b620248135bd79c00ab4d,BRANCO,TIROL,REPROVADO
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,APROVADO_POR_NOTA
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,APROVADO_POR_NOTA
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,APROVADO_POR_NOTA
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,REPROVADO
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,REPROVADO
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,REPROVADO
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,APROVADO_POR_NOTA
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,APROVADO_POR_NOTA
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,APROVADO_POR_NOTA
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,REPROVADO_POR_MEDIA_E_POR_FALTAS
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,REPROVADO_POR_MEDIA_E_POR_FALTAS
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,REPROVADO_POR_MEDIA_E_POR_FALTAS
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,APROVADO_POR_NOTA
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,APROVADO_POR_NOTA
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,APROVADO_POR_NOTA
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,REPROVADO_POR_MEDIA_E_POR_FALTAS
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,REPROVADO_POR_MEDIA_E_POR_FALTAS
b0d6eae7ca3a052474157988f5874bbc,PARDO,POTENGI,REPROVADO_POR_MEDIA_E_POR_FALTAS
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,REPROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,REPROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,REPROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,APROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,APROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,APROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,APROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,APROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,APROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,REPROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,REPROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,REPROVADO
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,REPROVADO_POR_MEDIA_E_POR_FALTAS
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,REPROVADO_POR_MEDIA_E_POR_FALTAS
1b1bb78ab66b8a12f8e0f0b569669bb8,NAO_INFORMADO,NOSSA_SENHORA_DA_APRESENTACAO,REPROVADO_POR_MEDIA_E_POR_FALTAS
065818a33218bef3c9b486b384a62107,PARDO,SANTOS_DUMONT,TRANCADO
065818a33218bef3c9b486b384a62107,PARDO,SANTOS_DUMONT,TRANCADO
065818a33218bef3c9b486b384a62107,PARDO,SANTOS_DUMONT,TRANCADO
065818a33218bef3c9b486b384a62107,PARDO,SANTOS_DUMONT,TRANCADO
065818a33218bef3c9b486b384a62107,PARDO,SANTOS_DUMONT,TRANCADO
065818a33218bef3c9b486b384a62107,PARDO,SANTOS_DUMONT,TRANCADO
065818a33218bef3c9b486b384a62107,PARDO,SANTOS_DUMONT,TRANCADO
065818a33218bef3c9b486b384a62107,PARDO,SANTOS_DUMONT,TRANCADO
065818a33218bef3c9b486b384a62107,PARDO,SANTOS_DUMONT,TRANCADO
065818a33218bef3c9b486b384a62107,PARDO,SANTOS_DUMONT,TRANCADO
72489a3d7b821870feaba15d0791d180,PARDO,LAGOA_NOVA,APROVADO
72489a3d7b821870feaba15d0791d180,PARDO,LAGOA_NOVA,APROVADO
72489a3d7b821870feaba15d0791d180,PARDO,LAGOA_NOVA,APROVADO
72489a3d7b821870feaba15d0791d180,PARDO,LAGOA_NOVA,APROVADO
72489a3d7b821870feaba15d0791d180,PARDO,LAGOA_NOVA,APROVADO
72489a3d7b821870feaba15d0791d180,PARDO,LAGOA_NOVA,APROVADO
72489a3d7b821870feaba15d0791d180,PARDO,LAGOA_NOVA,APROVADO
72489a3d7b821870feaba15d0791d180,PARDO,LAGOA_NOVA,APROVADO
72489a3d7b821870feaba15d0791d180,PARDO,LAGOA_NOVA,APROVADO
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO_POR_NOTA
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO
735bbfb6f7ab46b58f900d62a6e3cf26,BRANCO,NOVA_PARNAMIRIM,APROVADO
016b3e8d294936a422258b4ba1a7a785,PARDO,PARQUE_DAS_NACOES,APROVADO_POR_NOTA
016b3e8d294936a422258b4ba1a7a785,PARDO,PARQUE_DAS_NACOES,APROVADO_POR_NOTA
016b3e8d294936a422258b4ba1a7a785,PARDO,PARQUE_DAS_NACOES,APROVADO_POR_NOTA
016b3e8d294936a422258b4ba1a7a785,PARDO,PARQUE_DAS_NACOES,REPROVADO
